series_id,series_name,release_date
3,Loki Season 1,"Wednesday, June 9, 2021"
10,Loki Season 2,TBA
1,WandaVision,"Friday, January 15, 2021"
2,The Falcon and The Winter Soldier,"Friday, March 19, 2021"
4,What If?,"Wednesday, August 11, 2021"